,t1 average,t1 standard deviation,t2 average,t2 standard deviation,m error average,m standard deviation,rates,Probability of Deletions
0,1.5,0.6173919658581353,1.1180555555555556,0.6379446524814121,1.4166666666666665,2.618377890560829,0.25,0.0025
1,1.5694444444444444,0.5643402681641679,1.409722222222222,0.7692676792545485,1.6666666666666665,2.838231060987733,0.25,0.005
2,1.6388888888888886,0.7157832625958402,1.6736111111111112,0.6761121952880926,1.4062499999999998,2.922148865656155,0.25,0.0075
3,1.715277777777778,0.6300337415028648,1.9236111111111112,0.817883400108377,3.5208333333333335,3.330662992892289,0.25,0.01
4,1.8194444444444446,0.7781497126573022,2.2152777777777777,0.8157579505898899,4.229166666666667,4.027412579229168,0.25,0.0125
5,1.75,0.8031573497111645,2.4652777777777777,0.8126780431707576,5.4375,3.7568802623394264,0.25,0.015000000000000001
6,1.6666666666666665,0.7027283689263065,2.5972222222222223,0.8774216928937271,3.979166666666667,4.153050669220292,0.25,0.017499999999999998
7,1.4652777777777777,0.5793098677215037,3.243055555555556,1.0493007298219792,6.229166666666667,3.6727577248650034,0.25,0.02
8,1.5208333333333335,0.6660515101683434,3.0,0.8678055195451838,4.5,3.7386402014041886,0.25,0.0225
9,1.597222222222222,0.4201245406181715,3.5277777777777772,1.09924216318941,6.625,4.336937603629752,0.25,0.024999999999999998
10,1.4791666666666667,0.6034478482483433,3.430555555555556,0.9792405409484624,7.052083333333334,4.03046934732448,0.25,0.0275
11,1.6805555555555558,0.6453477864160524,3.9027777777777777,0.8424272324511528,8.40625,3.4697195842107407,0.25,0.03
12,1.402777777777778,0.7080609498072714,3.805555555555556,0.9666507022947398,6.96875,3.8606224086207197,0.25,0.0325
13,1.4305555555555558,0.5539908520883092,4.125,1.1016086722001903,8.28125,4.077363301578062,0.25,0.035
14,1.4791666666666667,0.7411710266468466,4.361111111111112,1.2269479347420986,9.072916666666666,4.27615268329293,0.25,0.037500000000000006
15,1.3888888888888888,0.737551002630653,4.659722222222222,1.1325833234547917,9.427083333333334,3.419063564738483,0.25,0.04
16,1.3263888888888888,0.6587712444157955,5.006944444444445,1.227399860137953,10.260416666666666,3.57300777337681,0.25,0.0425
17,1.2638888888888888,0.5691055902374411,5.090277777777778,1.157682837598077,10.166666666666666,3.485834429037998,0.25,0.045000000000000005
18,1.3125,0.5233273619616863,5.708333333333333,1.2834265237929705,11.03125,3.5709421171683347,0.25,0.0475
19,1.215277777777778,0.6907889902223007,5.666666666666666,1.2294608875739292,10.3125,3.1329759326308984,0.25,0.05
20,1.1875,0.45638263335132656,5.784722222222221,1.0986936336473803,11.1875,3.2389636331188822,0.25,0.052500000000000005
21,1.3819444444444442,0.5251671544598508,5.777777777777777,1.4125757927879021,11.59375,3.089924683323383,0.25,0.055
22,1.2430555555555556,0.674684139632469,6.166666666666667,1.3353572601913237,12.25,3.983254880677917,0.25,0.0575
23,1.1666666666666667,0.5350377856738395,6.194444444444445,1.277777777777778,12.166666666666668,3.073463934318338,0.25,0.060000000000000005
24,1.0625,0.5446410501025332,6.5625,1.2815275595173399,12.708333333333332,3.486083443891981,0.25,0.0625
25,0.8819444444444444,0.4601709793619254,6.9375,1.1987768650679835,12.875,3.0459444804161775,0.25,0.065
26,1.1944444444444442,0.39868611373353674,6.923611111111112,1.4128318194321643,12.822916666666668,3.9905351345054236,0.25,0.0675
27,0.9444444444444444,0.47628967220784013,7.430555555555557,1.5147805732795707,14.322916666666668,3.4304694517984298,0.25,0.07
28,1.0763888888888888,0.5963737512957524,7.416666666666666,1.346864213600073,13.927083333333332,2.8669687038074048,0.25,0.07250000000000001
29,0.8888888888888887,0.4312270748961118,7.791666666666666,1.663132827668655,13.927083333333334,3.404051278134139,0.25,0.075
30,0.8402777777777779,0.41891753144043536,7.840277777777777,1.2147617952239864,14.65625,2.9899825517421035,0.25,0.0775
31,0.8680555555555556,0.524064054020164,8.104166666666666,1.2863353236286463,14.697916666666666,3.678705968702401,0.25,0.08
32,0.8958333333333333,0.47906601197242166,8.42361111111111,1.5816115150592136,14.979166666666666,3.2368188901725374,0.25,0.0825
33,0.7916666666666666,0.48332535114736985,8.055555555555554,1.1436216027910497,14.625,3.2285617713017527,0.25,0.085
34,0.7569444444444444,0.38783338904008896,8.57638888888889,1.0359798472109196,14.802083333333334,3.3006042954704182,0.25,0.08750000000000001
35,0.75,0.4444444444444444,8.67361111111111,1.3227115982791646,15.791666666666666,3.8671515500573688,0.25,0.09000000000000001
36,0.7430555555555556,0.41845680264396745,8.631944444444446,1.0456175076108003,15.177083333333334,2.724132602774689,0.25,0.0925
37,0.75,0.49378857873975496,9.1875,1.3225657525254033,16.364583333333332,3.2193904432965086,0.25,0.095
38,0.6666666666666666,0.4110735718596873,9.1875,1.4059884873437656,15.791666666666666,3.8559117670864245,0.25,0.0975
39,0.7222222222222222,0.39185377721294123,9.222222222222221,1.241017105760482,16.895833333333336,3.983418321966421,0.25,0.1
40,0.7569444444444444,0.5196282354591788,9.5625,1.1651569265898252,16.71875,3.4575645480839063,0.25,0.10250000000000001
41,0.6597222222222221,0.4798706583710158,9.916666666666666,1.3933262448871615,17.333333333333336,3.0771334062727926,0.25,0.10500000000000001
42,0.5972222222222221,0.4459609543889534,9.76388888888889,1.3601895973505829,16.9375,3.340552079289357,0.25,0.1075
43,0.7222222222222222,0.39185377721294123,10.895833333333334,1.399249550850582,20.0625,3.237623335274057,0.25,0.11
44,0.5277777777777778,0.3868996743662256,10.875,1.2196152753032763,20.083333333333332,3.7386402014041886,0.25,0.1125
45,0.6111111111111112,0.3685138655950444,11.23611111111111,1.0355375236865938,19.760416666666664,3.252786599167277,0.25,0.115
46,0.6458333333333334,0.3589008210950709,11.194444444444445,1.2472191289246473,20.09375,3.684011414771494,0.25,0.11750000000000001
47,0.4583333333333333,0.28834082627814855,11.256944444444445,1.1058687091385901,18.989583333333336,3.839089315297748,0.25,0.12000000000000001
48,0.40277777777777785,0.3224496323956639,11.527777777777777,1.0865337342004415,20.4375,3.7649585913319745,0.25,0.1225
49,0.45138888888888895,0.3605096486782614,11.493055555555555,1.176361012394359,20.666666666666668,3.8197222121219467,0.25,0.125
50,0.4305555555555555,0.2910045394410689,11.402777777777777,1.2390726072050524,20.260416666666668,3.6854249104863515,0.25,0.1275
51,0.4930555555555555,0.3485391692036001,11.756944444444445,1.1872969287055284,21.395833333333332,3.8307849318963916,0.25,0.13
