,t1 average,t1 standard deviation,t2 average,t2 standard deviation,m error average,m standard deviation,rates,Probability of substitution
0,0.30934343434343436,0.30138177430000024,1.8560606060606062,0.7956549370802095,0.26515151515151514,1.1557686592721481,0.16666666666666666,0.0
1,0.5555555555555556,0.3489968424516478,2.253787878787879,0.7750252603418434,0.7007575757575758,1.6522925262454289,0.16666666666666666,0.004
2,0.7638888888888888,0.5065869936189311,2.291666666666667,0.9704783980541167,1.3825757575757573,2.4629223638287776,0.16666666666666666,0.008
3,1.2373737373737375,0.5012483141737174,2.7146464646464645,0.9545153915419813,4.28030303030303,3.9521210494765127,0.16666666666666666,0.012
4,1.3320707070707072,0.5266453342922761,2.733585858585859,0.7004731427484325,4.554924242424242,3.70891897672291,0.16666666666666666,0.016
5,1.5340909090909092,0.6348072497717872,3.0492424242424243,1.026364495013752,5.1231060606060606,4.397030244529136,0.16666666666666666,0.02
6,1.8876262626262625,0.6845891597306014,3.181818181818182,0.8256455921349403,6.571969696969697,3.8531776893604484,0.16666666666666666,0.024
7,1.9444444444444442,0.7257630233939351,3.251262626262627,0.8877753226278556,6.922348484848484,3.772684963100959,0.16666666666666666,0.028
8,1.9444444444444446,0.675711523245437,3.169191919191919,0.9208519531169106,7.083333333333334,4.026748546501173,0.16666666666666666,0.032
9,2.367424242424242,0.7441733244635818,3.5101010101010104,1.0784927527304355,9.914772727272728,4.337813809328211,0.16666666666666666,0.036000000000000004
10,2.544191919191919,0.781171879065282,3.693181818181818,0.9409531089754051,10.179924242424242,3.800346432392493,0.16666666666666666,0.04
11,2.7967171717171717,0.6545898300676517,4.22979797979798,0.9792478670197595,12.054924242424242,3.1972114792601616,0.16666666666666666,0.044
12,2.8914141414141414,0.8636769734678125,4.103535353535354,0.8977086261542141,11.732954545454545,2.897773692438651,0.16666666666666666,0.048
13,3.118686868686869,0.7815034406789789,4.646464646464646,1.1047799421326947,14.024621212121213,2.6548781432851674,0.16666666666666666,0.052000000000000005
14,2.904040404040404,0.8945954335312298,4.595959595959596,1.203409349236753,12.357954545454543,3.57215998962896,0.16666666666666666,0.056
15,3.099747474747475,1.002158642226553,4.911616161616162,1.2536931464511667,13.977272727272725,3.1971133100013933,0.16666666666666666,0.06
16,3.421717171717172,0.7637584411533643,4.690656565656566,1.2459600821755323,13.787878787878787,3.574280640025894,0.16666666666666666,0.064
17,3.667929292929293,0.9747401148515779,5.018939393939394,1.190071302326872,14.86742424242424,2.4486080217668142,0.16666666666666666,0.068
18,3.787878787878788,1.0242070601350124,5.056818181818182,1.2956385115600284,15.179924242424244,3.4741142113478998,0.16666666666666666,0.07200000000000001
19,3.693181818181819,0.8576337189369162,5.195707070707071,1.1431998356357171,15.946969696969697,2.8457030259080223,0.16666666666666666,0.076
20,3.6994949494949494,0.9789222109192943,5.612373737373738,1.2894715591461297,16.770833333333336,3.1849591053865023,0.16666666666666666,0.08
21,4.065656565656566,0.7921407647150567,5.921717171717172,1.1348896163872206,17.111742424242426,3.041984468661166,0.16666666666666666,0.084
22,4.08459595959596,0.8997264248240011,5.763888888888888,1.2305101074258165,17.28219696969697,3.010931811043382,0.16666666666666666,0.088
23,4.172979797979798,1.0787698791200673,5.827020202020202,1.0524389432709793,17.43371212121212,3.7445318067231135,0.16666666666666666,0.092
24,4.305555555555555,0.8599773335281727,6.123737373737375,1.4775964421286505,18.560606060606062,3.257355524620256,0.16666666666666666,0.096
25,4.22979797979798,1.0065436094632212,6.344696969696971,1.279168779142975,18.69318181818182,3.2236495346600638,0.16666666666666666,0.1
26,4.32449494949495,0.8751147766778727,6.660353535353536,1.1554065196238188,19.270833333333336,3.1203334073097353,0.16666666666666666,0.10400000000000001
27,4.053030303030303,0.8909347152685921,7.032828282828284,1.299401316471094,19.829545454545457,3.2524514841217314,0.16666666666666666,0.108
28,4.393939393939394,1.161067063896227,7.68939393939394,1.453885494921673,21.31628787878788,3.847063665501097,0.16666666666666666,0.112
29,4.381313131313131,0.8794080883518104,7.840909090909091,1.166751385266337,22.424242424242426,3.732742660376555,0.16666666666666666,0.116
30,4.659090909090909,1.166751385266337,8.308080808080808,1.4215624186906635,23.901515151515152,4.176812715792979,0.16666666666666666,0.12
31,4.179292929292929,1.2188758555278114,8.737373737373739,1.2811768579763454,24.195075757575758,3.562607734423701,0.16666666666666666,0.124
32,4.444444444444445,1.101890112589466,8.516414141414142,1.2663927407881919,24.0625,3.831180056832308,0.16666666666666666,0.128
33,4.652777777777778,1.1666659834271471,8.45959595959596,1.451745692101496,23.78787878787879,3.4615078032280966,0.16666666666666666,0.132
34,4.678030303030303,1.3194142377287563,8.503787878787879,1.1795761075015168,23.731060606060606,4.162833981064182,0.16666666666666666,0.136
35,4.583333333333333,1.1784436627946968,8.70580808080808,1.3206219674378816,25.198863636363637,3.859165844265382,0.16666666666666666,0.14
36,4.621212121212121,1.1954343816711743,8.832070707070708,1.4346096059405824,24.734848484848488,3.6521123615739244,0.16666666666666666,0.14400000000000002
37,4.412878787878787,1.0365654092572283,9.387626262626263,1.371432423659297,26.126893939393938,4.0686539530500045,0.16666666666666666,0.148
38,4.652777777777778,1.0918432389790367,9.469696969696969,1.451745692101496,26.941287878787882,3.365874541150885,0.16666666666666666,0.152
39,4.362373737373737,1.2215378906877505,9.823232323232324,1.2496811143089515,27.13068181818182,3.2822439626634665,0.16666666666666666,0.156
40,4.469696969696971,1.3099709443780745,9.62752525252525,1.3111721739138433,26.751893939393938,3.148371624783366,0.16666666666666666,0.16
41,4.9936868686868685,1.2221902648380703,9.375000000000002,1.3172375337943758,27.168560606060606,4.084931361418732,0.16666666666666666,0.164
42,3.9772727272727266,1.243222109746211,10.258838383838384,1.763783139639671,27.859848484848488,3.4373304282409234,0.16666666666666666,0.168
43,4.349747474747475,1.2051137669983858,9.94949494949495,1.4635575889739494,27.518939393939398,3.9804730991109136,0.16666666666666666,0.17200000000000001
44,4.305555555555555,1.4516907838886848,10.606060606060606,1.385441083267192,29.46969696969697,3.6863281394248055,0.16666666666666666,0.176
45,4.406565656565657,1.204402507241261,10.48611111111111,1.441814706363113,29.28030303030303,3.962092241623038,0.16666666666666666,0.18
46,4.356060606060606,1.1705709954820034,10.082070707070708,1.2967454483358782,28.825757575757574,3.852479434876097,0.16666666666666666,0.184
47,4.267676767676768,1.057595534917774,10.505050505050503,1.524382653816825,28.28598484848485,4.3842856169224405,0.16666666666666666,0.188
48,4.545454545454545,1.3386220485554112,10.770202020202019,1.3975282266820312,30.17045454545455,3.341662716484685,0.16666666666666666,0.192
49,4.412878787878787,1.1695320697689913,10.688131313131313,1.4109671942040642,29.3655303030303,4.074380452686314,0.16666666666666666,0.196
50,4.2108585858585865,1.2089440420745976,11.294191919191919,1.2888532409734155,30.17992424242424,3.31237763344509,0.16666666666666666,0.2
